1, none, minecraft:the_void, MONSTER, mowziesmobs:grottol, 10, 1, 1
2, none, minecraft:the_void, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
3, none, minecraft:the_void, MONSTER, midnight_madness:necromancer, 10, 1, 2
4, none, minecraft:the_void, MONSTER, midnight_madness:fallen_king, 10, 1, 1
5, none, minecraft:the_void, MONSTER, turrets:missile, 20, 4, 4
6, none, minecraft:the_void, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
7, none, minecraft:the_void, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
8, none, minecraft:the_void, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
9, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
10, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
11, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
12, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
13, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
14, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
15, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
16, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
17, plains, minecraft:plains, MONSTER, mowziesmobs:grottol, 10, 1, 1
18, plains, minecraft:plains, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
19, plains, minecraft:plains, MONSTER, midnight_madness:necromancer, 10, 1, 2
20, plains, minecraft:plains, MONSTER, midnight_madness:fallen_king, 10, 1, 1
21, plains, minecraft:plains, MONSTER, turrets:missile, 20, 4, 4
22, plains, minecraft:plains, MONSTER, powder_and_more_remastered:gunpowder_slime, 13, 1, 1
23, plains, minecraft:plains, MONSTER, quark:stoneling, 80, 1, 1
24, plains, minecraft:plains, MONSTER, quark:toretoise, 80, 2, 4
25, plains, minecraft:plains, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
26, plains, minecraft:plains, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
27, plains, minecraft:plains, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
28, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
29, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
30, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
31, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
32, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
33, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
34, plains, minecraft:plains, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
35, plains, minecraft:plains, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
36, plains, minecraft:plains, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
37, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
38, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
